decision_number,decision_year,decided,act_ar,act_en,electoral_group,municipalities_named,municipalities_ar,title,post_id,link,decision_text_available,scan_url,publishing_authority
25,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,قمينس,قرار مجلس المفوضية رقم (25) لسنة 2026 بشأن تشكيل المجلس البلدي (قمينس),47032,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-25-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0003.jpg,High National Elections Commission
26,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,الأبيار,قرار مجلس المفوضية رقم (26) لسنة 2026 بشأن تشكيل المجلس البلدي (الأبيار),47034,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-26-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0004.jpg,High National Elections Commission
27,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,قصر الجدي,قرار مجلس المفوضية رقم (27) لسنة 2026 بشأن تشكيل المجلس البلدي (قصر الجدي),47036,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-27-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0005.jpg,High National Elections Commission
28,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,سبها,قرار مجلس المفوضية رقم (28) لسنة 2026 بشأن تشكيل المجلس البلدي (سبها),47038,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-28-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0006.jpg,High National Elections Commission
29,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,سرت,قرار مجلس المفوضية رقم (29) لسنة 2026 بشأن تشكيل المجلس البلدي (سرت),47040,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-29-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0007.jpg,High National Elections Commission
33,2026,2026-01-19,القوائم النهائية,final_candidate_list,3,1,تاجوراء;الجديدة,قرار مجلس المفوضية رقم (33) بشأن اعتماد القوائم النهائية للمترشحين لانتخابات المجالس البلدية (تاجوراء – الجديدة) ضمن انتخابات (المجموعة الثالثة – 2025),47083,https://hnec.ly/2026/01/19/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-33-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa%d9%85%d8%a7%d8%af-%d8%a7%d9%84/,0,https://hnec.ly/wp-content/uploads/2026/01/قرار-33_page-0001-1.jpg,High National Elections Commission
34,2026,2026-01-19,حملات الدعاية,campaign_start,,1,تاجوراء;الجديدة;الصيد;الحشان,قرار مجلس المفوضية رقم (34) بشأن الإذن للبدء في حملات الدعاية الانتخابية لمترشحي انتخابات المجالس البلدية (تاجوراء – الجديدة – الصيد والحشان),47095,https://hnec.ly/2026/01/19/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-34-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d9%84%d8%a5%d8%b0%d9%86-%d9%84%d9%84%d8%a8/,0,https://hnec.ly/wp-content/uploads/2026/01/قرار-34_page-0001.jpg,High National Elections Commission
35,2026,2026-01-19,يوم الاقتراع,polling_day,,2,تاجوراء;الجديدة;الصياد;الحشان,قرار مجلس المفوضية رقم (35) لسنة 2026 بشأن تحديد يوم الاقتراع لانتخابات المجالس البلدية (تاجوراء – الجديدة – الصياد والحشان ),47098,https://hnec.ly/2026/01/19/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-35-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%ad%d8%af/,0,https://hnec.ly/wp-content/uploads/2026/01/قرار-35_page-0001.jpg,High National Elections Commission
59,2026,2026-02-09,تشكيل المجلس البلدي,council_formation,,1,سلوق,قرار رقم (59) لسنة 2026 بشأن تشكيل المجلس البلدي (سلوق) المنتخب والمعتمد وفق القرار (5) لسنة 2026,47602,https://hnec.ly/2026/02/09/%d9%82%d8%b1%d8%a7%d8%b1-%d8%b1%d9%82%d9%85-59-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83%d9%8a%d9%84-%d8%a7%d9%84%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%a8%d9%84/,0,https://hnec.ly/wp-content/uploads/2026/02/26291.jpg,High National Elections Commission
60,2026,2026-02-09,النتائج الأولية,preliminary_results,,2,تاجوراء;الجديدة;صياد;الحشان,قرار رقم (60) لسنة 2026 بشأن اعتماد النتائج الأولية لانتخابات المجالس البلدية (تاجوراء – الجديدة – صياد والحشان),47605,https://hnec.ly/2026/02/09/%d9%82%d8%b1%d8%a7%d8%b1-%d8%b1%d9%82%d9%85-60-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa%d9%85%d8%a7%d8%af-%d8%a7%d9%84%d9%86%d8%aa%d8%a7%d8%a6%d8%ac-%d8%a7%d9%84/,0,https://hnec.ly/wp-content/uploads/2026/02/26295.jpg,High National Elections Commission
66,2026,2026-02-11,النتائج النهائية,final_results,,2,تاجوراء;الجديدة;صياد;الحشان,قرار مجلس المفوضية رقم (66) لسنة 2026 ، بشأن اعتماد النتائج النهائية لانتخابات المجالس البلدية (تاجوراء ، الجديدة ، صياد والحشان),47639,https://hnec.ly/2026/02/11/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-66-%d9%84%d8%b3%d9%86%d8%a9-2026/,0,https://hnec.ly/wp-content/uploads/2026/02/1128.jpg,High National Elections Commission
72,2026,2026-02-16,,,,0,,قرار مجلس المفوضية رقم (72) لسنة 2026,47753,https://hnec.ly/2026/02/16/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-72-%d9%84%d8%b3%d9%86%d8%a9-2026/,0,https://hnec.ly/wp-content/uploads/2026/02/1622.jpg,High National Elections Commission
